Year,Country,Avg Temperature (°C),CO2 Emissions (Tons/Capita),Sea Level Rise (mm),Rainfall (mm),Population,Renewable Energy (%),Extreme Weather Events,Forest Area (%)
2006,UK,8.9,9.3,3.1,1441,530911230,20.4,14,59.8
2019,USA,31,4.8,4.2,2407,107364344,49.2,8,31
2014,France,33.9,2.8,2.2,1241,441101758,33.3,9,35.5
2010,Argentina,5.9,1.8,3.2,1892,1069669579,23.7,7,17.7
2007,Germany,26.9,5.6,2.4,1743,124079175,12.5,4,17.4
2020,China,32.3,1.4,2.7,2100,1202028857,49.4,12,47.2
2006,Argentina,30.7,11.6,3.9,1755,586706107,41.9,10,50.5
2018,South Africa,33.9,6,4.5,827,83947380,17.7,1,56.6
2022,UK,27.8,16.6,1.5,1966,980305187,8.2,4,43.4
2010,Australia,18.3,1.9,3.5,2599,849496137,7.5,5,48.7
2010,Indonesia,14.4,4.9,3.3,2466,1345958932,10.4,13,10.8
2023,South Africa,14.6,14.7,1.5,875,1311714067,31.1,14,19.7
2020,Brazil,26.7,12.2,1.8,762,1106863791,46.8,0,69.1
2003,USA,27.4,1.8,2.2,766,798905927,27.4,10,14.6
2007,Germany,11,17.6,1.7,2906,1179622755,42.9,3,50.7
2023,India,31,17.6,2,2444,365927452,25.1,8,20.6
2002,Russia,26.4,6.9,2.1,2393,29715260,36.9,1,53
2021,France,21.9,7.1,2.3,2401,680925261,37.9,4,52.4
2020,China,19.1,19.8,4,2152,1074542897,12.8,0,24.1
2001,Canada,21.3,12.7,3.3,1944,1189649940,21.3,3,26.2
2023,France,9.8,10.9,4.9,545,1311466901,33.7,3,49.3
2011,Mexico,11.1,16.8,2.7,1099,250843348,8.2,5,33.4
2005,India,7.7,6.1,4,1219,588745515,21.3,9,21.7
2001,Indonesia,9.6,8.9,4.5,2412,300442653,29.1,8,53.9
2020,Russia,18.6,5.7,3.7,1792,11186886,49.8,2,19.2
2000,India,20.9,15.9,2.6,1100,1237433800,26.4,8,61.3
2011,Australia,5.5,11.7,4,880,966063065,41.7,5,40.9
2021,USA,28.9,13.3,1.8,617,1019475941,24.4,6,16.3
2011,UK,13.8,5.4,2.3,2663,158680885,40.8,11,51.6
2016,China,32.4,4.8,3.2,759,1358197397,31.8,9,41.1
2009,Japan,34,10,3.3,1598,176809981,44.9,1,27.9
2015,USA,10.6,14.9,1.1,2003,52552633,23.5,10,35.4
2014,Japan,18.9,10.7,4.8,2852,214294469,32.2,9,27.9
